session_test_id,code_anonyme,age,genre,musicien,musicien_longueur,musicien_debut,musicien_diplome,deficience,info_methode,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P2,AA7P_1C_DN,0,108542,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P2,AR1P_1C_DN,69,108542,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P2,AC3P_1C_DN,86,108542,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P2,reference,100,108542,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P3,AR1P_1C_DN,61,68804,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P3,AI2P_3C_DN,100,68804,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P3,reference,86,68804,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P3,AA7P_1C_DN,0,68804,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P1,reference,100,33164,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P1,AI2P_3C_DN,41,33164,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P1,AC3P_1C_DN,72,33164,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,P_P1,AA7P_1C_DN,0,33164,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,G_P1,AC3G_2C_DN,90,88024,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,G_P1,reference,89,88024,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,G_P1,AC3G_3C_DN,90,88024,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,G_P1,AC3G_4C_DN,100,88024,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,G_P1,AC3G_5C_DN,89,88024,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,G_P1,AA7G_1C_DN,0,88024,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P1,reference,100,199757,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P1,AA7S_1C_DN,0,199757,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P1,AI2S_3C_DN,75,199757,
